,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Chicago Chimchars,,,,CHC,2,Uncertain Unowns,,,,UNU,3,King Keldeos,,,,KK,4,Ottawa Donphans,,,,OD,5,Boston Babettes,,,,BBA,6,Gelnhausen Gengars,,,,GG,,7,Sydney Sylveons,,,,SYS,8,Crown Point Cetitans,,
,platano_power_420,,,,,,RexxRexx,,,,,,Bee,,,,,,Crunchy,,,,,,Raven,,,,,,bigwill0207,,,,,,,MysticMew,,,,,,MadMac,,,
,180,,Iron Valiant,,,,160,,Meowscarada,,,,170,,Great Tusk,,,,160,,Galarian Slowking,,,,170,,Roaring Moon,,,,160,,Walking Wake,,,,,180,,Dragapult,,,,,,,
,160,,Darkrai,,,,140,,Ting-Lu,,,,130,,Primarina,,,,140,,Iron Hands,,,,160,,Annihilape,,,,90,,Typhlosion,,,,,150,,Terapagos-Terastal,,,,,,,
,130,,Glimmora,,,,130,,Hatterene,,,,160,,Cinderace,,,,110,,Donphan,,,,150,,Gliscor,,,,110,,Torkoal,,,,,150,,Landorus-Therian,,,,,,,
,120,,Moltres,,,,120,,Hisuian Zoroark,,,,130,,Metagross,,,,150,,Weavile,,,,110,,Fezandipiti,,,,120,,Sandy Shocks,,,,,130,,Galarian Zapdos,,,,,,,
,130,,Slowking,,,,120,,Toxapex,,,,130,,Pecharunt,,,,130,,Hydreigon,1,T,,100,,Blastoise,,,,90,,Araquanid,3,T,,,90,,Tentacruel,,,,,,,
,90,,Tinkaton,,,,110,,Hawlucha,,,,100,,Regieleki,,,,140,,Quaquaval,,,,70,,Bellibolt,3,T,,120,,Azumarill,,,,,80,,Diancie,2,T,,,,,
,100,,Iron Leaves,2,T,,90,,Incineroar,,,,70,,Lycanroc-Midday,3,T,,110,,Scream Tail,,,,150,,Jirachi,,,,140,,Ogerpon-T,,,,,100,,Delphox,2,T,,,,,
,120,,Mamoswine,,,,90,,Kilowattrel,2,T,,70,,Zoroark,,,,80,,Hisuian Typhlosion,,,,110,,Reuniclus,2,T,,80,,Drednaw,3,T,,,110,,Sylveon,,,,,,,
,60,,Vikavolt,3,T,,60,,Regirock,3,T,,30,,Appletun,4,T,,60,,Masquerain,4,T,,10,,Carkol,4,T,,110,,Pelipper,,,,,90,,Bronzong,,,,,,,
