,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Clonbrook Kyogres,,,,CBK,2,Orlando Magikarps,,,,OM,3,Cherry Hill Bellsprouts,,,,CHB,4,Toronto Staraptors,,,,TOS,5,Charleston Chesnaughts,,,,CC,6,Syracuse Snorlax,,,,SS,,7,Tokyo Teddiursas,,,,TT,8,Crown Point Cetitans,,
,Clonbrookkyogres,,,,,,Shhnico,,,,,,hotpepper22,,,,,,Cai,,,,,,Don,,,,,,TheITB,,,,,,,kuma,,,,,,MadMac,,,
,90,,Alomomola,,,,180,,Gouging Fire,,,,180,,Iron Valiant,,,,170,,Great Tusk,,,,170,,Roaring Moon,,,,160,,Galarian Slowking,,,,,150,,Terapagos-Terastal,,,,,,,
,100,,Regieleki,,,,130,,Scizor,,,,140,,Corviknight,,,,170,,Baxcalibur,,,,150,,Landorus-Therian,,,,160,,Tornadus-Therian,,,,,160,,Cinderace,,,,,,,
,160,,Sneasler,,,,130,,Slowking,,,,110,,Clodsire,,,,130,,Alolan Ninetales,,,,130,,Empoleon,,,,160,,Kyurem,,,,,120,,Zarude,2,T,,,,,
,150,,Archaludon,,,,110,,Garganacl,,,,80,,Wo-Chien,,,,110,,Porygon-Z,2,T,,120,,Enamorus-Therian,2,T,,120,,Hisuian Zoroark,,,,,130,,Metagross,,,,,,,
,120,,Conkeldurr,,,,110,,Tornadus,2,T,,140,,Iron Boulder,,,,90,,Sinistcha,,,,100,,Overqwil,,,,100,,Blastoise,,,,,150,,Gliscor,,,,,,,
,60,,Mudsdale,3,T,,60,,Rotom-Frost,3,T,,150,,Raging Bolt,,,,130,,Skarmory,,,,60,,Tauros,3,T,,130,,Hydrapple,1,T,,,110,,Fezandipiti,,,,,,,
,40,,Sableye,,,,70,,Toedscruel,,,,100,,Chandelure,2,T,,70,,Oricorio-Baile,,,,90,,Decidueye,,,,90,,Incineroar,,,,,130,,Thundurus,,,,,,,
,110,,Pelipper,,,,140,,Clefable,,,,60,,Grafaiai,3,T,,120,,Raikou,,,,100,,Entei,,,,60,,Alolan Sandslash,4,T,,,70,,Mismagius,3,T,,,,,
,80,,Diancie,2,T,,140,,Hisuian Samurott,,,,30,,Avalugg,4,T,,70,,Qwilfish,,,,40,,Cryogonal,,,,110,,Swampert,,,,,50,,Poliwrath,,,,,,,
,140,,Rillaboom,,,,30,,Glimmet,,,,110,,Slowbro,,,,40,,Probopass,4,T,,130,,Iron Crown,,,,10,,Morgrem,,,,,30,,Hisuian Sliggoo,,,,,,,
,40,,Naclstack,3,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,10,,,0,,,0,,,0,,,,0,,,0,,,115,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,New York Nickits,,,,NYN,9,Snowpoint Temple Zoruas,,,,STZ,10,Manila Manectrics,,,,MAM,11,Salt Lake Salandits,,,,SLS,12,Tottenham Hoothoots,,,,TOH,13,Scarborough Sceptiles,,,,SCS,,14,Metro Boomburstin,,,,MB,16,Abbotsford Aggrons,,
,Kalib,,,,,,BaitWiz,,,,,,CarlSHT,,,,,,Cas,,,,,,TripleStarHunter,,,,,,Geo,,,,,,,Exsalted,,,,,,,,,
,170,,Deoxys-Speed,,,,160,,Greninja,,,,170,,Iron Bundle,,,,160,,Enamorus,,,,160,,Darkrai,,,,180,,Spectrier,,,,,170,,Ogerpon-W,,,,,,,
,160,,Gholdengo,,,,150,,Iron Treads,,,,160,,Latios,,,,130,,Azelf,,,,140,,Thundurus-Therian,,,,180,,Dragapult,,,,,150,,Heatran,,,,,,,
,160,,Garchomp,,,,130,,Pecharunt,,,,110,,Ceruledge,2,T,,150,,Jirachi,,,,150,,Ursaluna,,,,140,,Ting-Lu,,,,,160,,Ursaluna-BM,,,,,,,
,120,,Mandibuzz,,,,120,,Moltres,,,,110,,Sylveon,,,,130,,Lycanroc-Dusk,,,,140,,Iron Hands,,,,90,,Tinkaton,,,,,160,,Annihilape,,,,,,,
,130,,Hatterene,,,,110,,Okidogi,2,T,,80,,Registeel,2,T,,110,,Amoonguss,2,T,,140,,Latias,,,,150,,Zapdos,,,,,130,,Primarina,,,,,,,
,110,,Vaporeon,,,,120,,Hisuian Arcanine,,,,160,,Meowscarada,,,,10,,Braixen,4,T,,160,,Manaphy,,,,90,,Tentacruel,,,,,140,,Dragonite,,,,,,,
,130,,Serperior,1,T,,50,,Ditto,,,,60,,Vikavolt,,,,100,,Alolan Muk,,,,30,,Lilligant,4,T,,110,,Mienshao,2,T,,,90,,Kilowattrel,2,T,,,,,
,20,,Frogadier,4,T,,70,,Jolteon,2,T,,110,,Donphan,,,,60,,Golurk,3,T,,40,,Muk,4,T,,60,,Arboliva,3,T,,,70,,Hisuian Qwilfish,3,T,,,,,
,30,,Flareon,4,T,,140,,Ogerpon-T,,,,130,,Glimmora,,,,90,,Cyclizar,,,,90,,Bronzong,3,T,,80,,Forretress,,,,,10,,Prinplup,,,,,,,
,70,,Hitmonchan,,,,50,,Granbull,,,,10,,Jumpluff,,,,60,,Gurdurr,,,,50,,Smeargle,,,,20,,Wigglytuff,4,T,,,20,,Hisuian Avalugg,4,T,,,,,
,,,,,,,,,,,,,,,,,,,80,,Cloyster,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,0,,,0,,,0,,,0,,,0,,,20,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,115,,,20
,,,,,,,,,,,god,,,,,,,,,,,,,,,,,,,wwwwwa,,,,,,,,,,,,,,,,,
