 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Complex Bans,,,21 Points,,,200 Points,,,190 Points,,,180 Points,,,170 Points,,,160 Points,,,150 Points,,,140 Points,,,130 Points,,,120 Points,,,110 Points,,,100 Points,,,90 Points,,,80 Points,,,70 Points,,,60 Points,,,50 Points,,,40 Points,,,30 Points,,,20 Point,,,10 Point,,,0 Point,,,,,Coaches,Drafted Mons,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dugtrio,Arena Trap,,,,,Dragapult,B,,Great Tusk,B,,Deoxys-Speed,B,,Blaziken,B,,Annihilape,20,,Baxcalibur,B,,Archaludon,40,,Clefable,10,,Azumarill,20,,Azelf,20,,Alolan Muk,10,,Alomomola,10,,Araquanid,20,,Amoonguss,10,,Arboliva,30,,Alolan Persian,10,,Abomasnow,10,,Alcremie,20,,Alolan Exeggutor,10,,Aipom,0,-,-,,,,theoranges,Garchomp,X
,,Sceptile,Shed Tail,,,,,Iron Valiant,B,,Palafin,B,,Meowscarada,10,,Chi-Yu,20,,Enamorus,B,,Cinderace,10,,Corviknight,20,,Empoleon,10,,Galarian Moltres,30,,Basculegion,20,,Alolan Ninetales,10,,Bronzong,10,,Breloom,20,,Bellibolt,30,,Armarouge,20,,Alolan Sandslash,10,,Alolan Raichu,10,,Appletun,20,,Ampharos,10,,Alolan Diglett,0,,Abra,0,,,theoranges,Rotom-Wash,X
,,Gothitelle,Shadow Tag,,,,,,,,,,,Terapagos,B,,Darkrai,B,,Galarian Slowking,10,,Dragonite,B,,Excadrill,20,,Galarian Zapdos,30,,Hisuian Arcanine,30,,Ceruledge,70,,Arcanine,20,,Cobalion,20,,Cetitan,40,,Braviary,30,,Blissey,10,,Bisharp,10,,Altaria,10,,Arbok,10,,Articuno,30,,Alolan Dugtrio,0,,Absol,0,,,theoranges,Quaquaval,X
,,Basculegion,Last Respects,,,,,,,,,,,Tornadus-Therian,B,,Garchomp,B,,Gholdengo,10,,Hisuian Samurott,10,,Gliscor,20,,Glimmora,20,,Hisuian Goodra,10,,Clodsire,10,,Barraskewda,40,,Cresselia,30,,Chandelure,20,,Chesnaught,30,,Eelektross,10,,Chansey,10,,Ambipom,10,,Avalugg,20,,Carbink,10,,Alolan Grimer,0,,Accelgor,0,,,theoranges,Alomomola,X
,,Cyclizar,Shed Tail,,,,,,,,,,,Urshifu-Single-Strike,B,,Gouging Fire,B,,Kyurem,B,,Iron Hands,40,,Heatran,30,,Infernape,10,,Hisuian Lilligant,20,,Conkeldurr,20,,Blastoise,50,,Cyclizar,20,,Diancie,40,,Cloyster,30,,Espeon,20,,Cinccino,20,,Brambleghast,10,,Basculin,10,,Charizard,20,,Alolan Meowth,0,,Aegislash,0,,,theoranges,Heatran,X
,,Orthworm,Shed Tail,,,,,,,,,,,,,,Greninja,30,,Roaring Moon,B,,Iron Moth,40,,Iron Boulder,30,,Krookodile,10,,Hisuian Zoroark,10,,Donphan,10,,Deoxys-Defense,30,,Dudunsparce,30,,Dondozo,30,,Comfey,30,,Flamigo,20,,Crawdaunt,10,,Brute Bonnet,20,,Beartic,20,,Dewgong,10,,Alolan Sandshrew,0,,Aegislash-Blade,0,,,theoranges,Weavile,X
,,Houndstone,Last Respects,,,,,,,,,,,,,,Iron Bundle,B,,Ting-Lu,10,,Iron Treads,10,,Jirachi,30,,Latias,B,,Hoopa-Unbound,40,,Enamorus-Therian,40,,Entei,40,,Espathra,70,,Dragalge,10,,Decidueye,10,,Flygon,10,,Ditto,10,,Clawitzer,10,,Bombirdier,10,,Eiscue,10,,Alolan Vulpix,0,,Aerodactyl,0,,,theoranges,Tsareena,X
,,All Trapping is Banned,,,,,,,,,,,,,,,Ogerpon-W,B,,Ursaluna-BM,B,,Landorus,20,,Keldeo,30,,Lycanroc-Dusk,30,,Iron Crown,40,,Garganacl,40,,Fezandipiti,10,,Florges,20,,Feraligatr,20,,Delphox,20,,Forretress,10,,Drednaw,20,,Coalossal,20,,Cryogonal,10,,Falinks,10,,Applin,0,,Aggron,0,,,theoranges,Munkidori,X
,,,,,,,,,,,,,,,,,Sneasler,B,,Urshifu-Rapid-Strike,30,,Landorus-Therian,30,,Manaphy,40,,Metagross,20,,Iron Jugulis,20,,Gengar,10,,Gardevoir,20,,Goodra,10,,Galarian Weezing,10,,Froslass,10,,Galarian Slowbro,10,,Emboar,10,,Copperajah,10,,Dunsparce,20,,Flapple,10,,Arctibax,0,,Alakazam,0,,,theoranges,Magnezone,X
,,,,,,,,,,,,,,,,,,,,,,,Latios,B,,Necrozma,40,,Ogerpon-C,40,,Kingambit,B,,Hatterene,20,,Grimmsnarl,10,,Gyarados,20,,Gallade,20,,Galarian Articuno,30,,Galvantula,10,,Floatzel,20,,Dachsbun,10,,Duraludon,10,,Flareon,20,,Ariados,0,,Alolan Geodude,0,,,theoranges,Whimsicott,X
,,,,,,,,,,,,,,,,,,,,,,,Quaquaval,40,,Rillaboom,20,,Pecharunt,20,,Kommo-o,40,,Hawlucha,40,,Kleavor,30,,Haxorus,20,,Gastrodon,10,,Hisuian Qwilfish,10,,Glastrier,30,,Golurk,10,,Drifblim,10,,Dusclops,10,,Gligar,10,,Arrokuda,0,,Alolan Golem,0,,,theoranges,Staraptor,X
,,,,,,,,,,,,,,,,,,,,,,,Raging Bolt,B,,Rotom-Wash,10,,Primarina,10,,Mamoswine,20,,Hydrapple,40,,Klefki,10,,Heracross,20,,Incineroar,10,,Iron Leaves,30,,Hariyama,20,,Grafaiai,10,,Farigiraf,10,,Dusknoir,10,,Gogoat,10,,Axew,0,,Alolan Graveler,0,,,theoranges,,X
,,,,,,,,,,,,,,,,,,,,,,,Ursaluna,30,,Salamence,40,,Scizor,20,,Mandibuzz,10,,Hydreigon,30,,Noivern,30,,Hippowdon,10,,Inteleon,20,,Kingdra,20,,Hisuian Braviary,30,,Granbull,10,,Frosmoth,20,,Electivire,10,,Gothitelle,10,,Azurill,0,,Alolan Marowak,0,,,Grey,Walking Wake,X
,,,,,,,,,,,,,,,,,,,,,,,Walking Wake,20,,Thundurus-Therian,50,,Slowking,10,,Mew,50,,Mienshao,10,,Okidogi,20,,Kilowattrel,20,,Lucario,20,,Meloetta,20,,Indeedee,10,,Hisuian Decidueye,10,,Hisuian Typhlosion,20,,Electrode,10,,Gurdurr,10,,Bagon,0,,Alolan Raticate,0,,,Grey,Ting-Lu,X
,,,,,,,,,,,,,,,,,,,,,,,Weavile,20,,Volcarona,B,,Thundurus,30,,Moltres,20,,Milotic,10,,Overqwil,20,,Lokix,30,,Mimikyu,10,,Mismagius,20,,Iron Thorns,30,,Hisuian Electrode,20,,Houndstone,10,,Hitmontop,10,,Haunter,10,,Banette,0,,Alolan Rattata,0,,,Grey,Pecharunt,X
,,,,,,,,,,,,,,,,,,,,,,,Zapdos,10,,,,,Zarude,B,,Ogerpon-T,70,,Ogerpon-H,B,,Pelipper,10,,Mesprit,10,,Munkidori,20,,Paldean Tauros (Fire),20,,Lanturn,10,,Hitmonlee,20,,Jolteon,30,,Honchkrow,10,,Hisuian Sneasel,10,,Barboach,0,,Amaura,0,,,Grey,Hisuian Arcanine,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandy Shocks,30,,Raikou,30,,Reuniclus,20,,Rhyperior,30,,Ninetales,10,,Paldean Tauros (Water),20,,Magnezone,10,,Hoopa,20,,Mabosstiff,10,,Komala,10,,Hitmonchan,10,,Bastiodon,20,,Anorith,0,,,Grey,Galarian Zapdos,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skarmory,10,,Scream Tail,40,,Suicune,10,,Sinistcha,30,,Porygon-Z,20,,Pawmot,30,,Mudsdale,20,,Lurantis,10,,Magneton,10,,Lilligant,20,,Houndoom,10,,Bayleef,0,,Arceus,0,,,Grey,Scream Tail,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skeledirge,40,,Slither Wing,30,,Sylveon,20,,Slowbro,10,,Revavroom,30,,Porygon2,10,,Oricorio,20,,Maushold,10,,Malamar,10,,Lycanroc-Midday,10,,Illumise,10,,Beldum,0,,Arceus-Bug,0,,,Grey,Scizor,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swampert,10,,Talonflame,10,,Tentacruel,10,,Rotom-Heat,10,,Quagsire,10,,Politoed,10,,Medicham,10,,Muk,10,,Magmortar,10,,Klawf,10,,Bellossom,10,,Arceus-Dark,0,,,Grey,Jolteon,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyranitar,10,,Terrakion,20,,Tinkaton,10,,Serperior,20,,Qwilfish,10,,Polteageist,30,,Piloswine,10,,Orthworm,10,,Minior,10,,Lapras,10,,Bellsprout,0,,Arceus-Dragon,0,,,Grey,Chesnaught,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uxie,10,,Venusaur,20,,Toxapex,10,,Shaymin,10,,Regidrago,30,,Registeel,20,,Spiritomb,10,,Palossand,10,,Passimian,10,,Leavanny,40,,Bergmite,0,,Arceus-Electric,0,,,Grey,Blastoise,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volcanion,40,,,,,Whimsicott,10,,Torkoal,10,,Regieleki,B,,Rhydon,20,,Staraptor,10,,Poliwrath,10,,Perrserker,10,,Ludicolo,20,,Blitzle,0,,Arceus-Fairy,0,,,Grey,Ditto,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Umbreon,10,,Rotom-Mow,10,,Ribombee,20,,Tauros,10,,Rotom,10,,Primeape,20,,Magmar,10,,Bonsly,0,,Arceus-Fighting,0,,,Grey,,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wo-Chien,20,,Salazzle,10,,Scrafty,20,,Toedscruel,10,,Rotom-Frost,10,,Raichu,10,,Masquerain,10,,Bounsweet,0,,Arceus-Fire,0,,,Shhnico,Great Tusk,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snorlax,20,,Tsareena,10,,Tornadus,10,,Sableye,10,,Regice,20,,Misdreavus,10,,Braixen,0,,Arceus-Flying,0,,,Shhnico,Hisuian Samurott,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torterra,20,,Ursaring,30,,Vileplume,10,,Sandaconda,10,,Regirock,10,,Morpeko,10,,Bramblin,0,,Arceus-Ghost,0,,,Shhnico,Tornadus-Therian,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxtricity,20,,Vikavolt,20,,Yanmega,20,,Scovillain,10,,Rotom-Fan,10,,Naclstack,20,,Brionne,0,,Arceus-Grass,0,,,Shhnico,Garganacl,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaporeon,10,,Virizion,20,,Zangoose,10,,Skuntank,10,,Sceptile,20,,Oranguru,10,,Bronzor,0,,Arceus-Ground,0,,,Shhnico,Chi-Yu,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weezing,10,,,,,Tatsugiri,10,,Scyther,10,,Paldean Tauros,10,,Bruxish,0,,Arceus-Ice,0,,,Shhnico,Fezandipiti,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zoroark,10,,,,,Venomoth,20,,Smeargle,10,,Pincurchin,10,,Buizel,0,,Arceus-Poison,0,,,Shhnico,Bronzong,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victreebel,10,,Spidops,10,,Quilladin,20,,Bulbasaur,0,,Arceus-Psychic,0,,,Shhnico,Dusclops,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swalot,10,,Rabsca,10,,Cacnea,0,,Arceus-Rock,0,,,Shhnico,Hisuian Electrode,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxicroak,10,,Sandslash,10,,Cacturne,0,,Arceus-Steel,0,,,Shhnico,Hisuian Goodra,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shiftry,10,,Camerupt,0,,Arceus-Water,0,,,Shhnico,,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slaking,10,,Capsakid,0,,Archen,0,,,Shhnico,,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sneasel,10,,Carkol,0,,Archeops,0,,,Metal,Dragapult,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Squawkabilly,10,,Cetoddle,0,,Arctovish,0,,,Metal,Terapagos,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thwackey,10,,Charcadet,0,,Arctozolt,0,,,Metal,Sneasler,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevenant,10,,Charjabug,0,,Armaldo,0,,,Metal,Rillaboom,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Typhlosion,20,,Charmander,0,,Aromatisse,0,,,Metal,Metagross,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vigoroth,10,,Charmeleon,0,,Aron,0,,,Metal,Sandy Shocks,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volbeat,10,,Chespin,0,,Audino,0,,,Metal,Hydreigon,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whiscash,10,,Chewtle,0,,Aurorus,0,,,Metal,Qwilfish,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wigglytuff,10,,Chikorita,0,,Babyfin,0,,,Metal,Tornadus,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wyrdeer,10,,Chimchar,0,,Baltoy,0,,,Metal,Rotom-Frost,X
