,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week 1,,,,,,,,,,,,,,Week 2,,,,,,,,,,,,,,Week 3,,,,,,,,,,,,,,Week 4,,,,,,,,,,,,,,Week 5,,,,,,,,,,,,,,Week 6,,,,,,,,,,,,,,Week 7,,,,,,,,,,,,,,Week 8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,6,,,,,,,,,,,,2,,6,,,,,,,,,,,,1,,6,,,,,,,,,,,,5,,6,,,,,,,,,,,,5,,6,,,,,,,,,,,,1,,6,,,,,,,,,,,,6,,3,,,,,,,,,,,,6,,4,,,,,,,,,,,,,,
,,Icirrus City Infernapes,,,,Melbourne Metronomers,,,,T1W,T1L,T2W,T2L,,,Icirrus City Infernapes,,,,Boston Bulbasaurs,,,,T1W,T1L,T2W,T2L,,,Icirrus City Infernapes,,,,Chicago Chimchars,,,,T1W,T1L,T2W,T2L,,,Icirrus City Infernapes,,,,King Keldeos,,,,T1W,T1L,T2W,T2L,,,Icirrus City Infernapes,,,,Carolina Cetitans,,,,T1W,T1L,T2W,T2L,,,Icirrus City Infernapes,,,,Richmond Ragingbolts,,,,T1W,T1L,T2W,T2L,,,Icirrus City Infernapes,,,,Columbus Conkeldurrs,,,,T1W,T1L,T2W,T2L,,,Icirrus City Infernapes,,,,Timekeepers,,,,T1W,T1L,T2W,T2L,,Pbot Text,Pbot Extract,Pbot Name,D,K,Pokemon
,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,"Blaziken has 0 direct kills, 0 passive kills, and 0 deaths.",Blaziken has 0 kills and 0 deaths.,Blaziken,0,0,Blaziken
,,Ogerpon-C,2,1,,1,1,Baxcalibur,,,,,,,,Gengar,0,0,,1,0,Bulbasaur,,,,,,,,Iron Valiant,0,0,,1,0,Regieleki,,,,,,,,Ting-Lu,0,1,,1,0,Ogerpon-T,,,,,,,,Ogerpon-C,5,0,,1,1,Tyranitar,,0,0,0,0,,,Iron Valiant,3,0,,1,0,Dragapult,,,,,,,,Raging Bolt,0,1,,0,3,Blastoise,,,,,,,,Ogerpon-C,0,1,,1,0,Tornadus-Therian,,0,1,1,0,,"Manaphy has 2 direct kills, 0 passive kills, and 0 deaths.",Manaphy has 2 kills and 0 deaths.,Manaphy,0,2,Manaphy
,,Iron Valiant,1,0,,1,0,Galarian Slowking,,,,,,,,Iron Valiant,0,0,,1,1,Gardevoir,,,,,,,,Raging Bolt,0,0,,1,0,Landorus-Therian,,,,,,,,Iron Valiant,0,1,,1,2,Hisuian Zoroark,,,,,,,,Iron Valiant,0,1,,1,0,Gastrodon,,0,0,0,0,,,Jirachi,1,0,,1,1,Urshifu-Single-Strike,,,,,,,,Ogerpon-C,1,1,,0,1,Grimmsnarl,,,,,,,,Raging Bolt,1,1,,1,0,Deoxys-Speed,,0,1,1,0,,"Wobbuffet has 0 direct kills, 0 passive kills, and 0 deaths.",Wobbuffet has 0 kills and 0 deaths.,Wobbuffet,0,0,Wobbuffet
,,Jirachi,1,1,,1,0,Lucario,,,,,,,,Ting-Lu,1,1,,1,1,Porygon-Z,,,,,,,,Ting-Lu,0,0,,1,0,Sneasler,,,,,,,,Raging Bolt,3,1,,1,1,Hisuian Arcanine,,,,,,,,Ting-Lu,1,1,,1,1,Skeledirge,,0,0,0,0,,,Moltres,0,0,,1,0,Registeel,,,,,,,,Tsareena,1,1,,0,0,Toedscruel,,,,,,,,Iron Valiant,0,1,,0,0,Sandy Shocks,,0,1,1,0,,"Banette-Mega has 1 direct kills, 0 passive kills, and 0 deaths.",Banette-Mega has 1 kills and 0 deaths.,Banette-Mega,0,1,Mega Banette
,,Tsareena,0,0,,1,1,Glimmora,,,,,,,,Moltres,1,1,,1,0,Gholdengo,,,,,,,,Jirachi,6,0,,1,0,Rillaboom,,,,,,,,Moltres,3,0,,1,2,Umbreon,,,,,,,,Jirachi,0,1,,1,1,Amoonguss,,0,0,0,0,,,Ting-Lu,0,0,,1,0,Fezandipiti,,,,,,,,Moltres,0,1,,1,1,Annihilape,,,,,,,,Ting-Lu,1,1,,1,1,Hoopa-Unbound,,0,1,1,0,,"Hydrapple has 3 direct kills, 0 passive kills, and 0 deaths.",Hydrapple has 3 kills and 0 deaths.,Hydrapple,0,3,Hydrapple
,,Raging Bolt,1,0,,1,1,Rotom-Fan,,,,,,,,Tsareena,0,0,,1,0,Kyurem,,,,,,,,Moltres,0,1,,1,1,Palafin,,,,,,,,Tsareena,0,1,,1,1,Primarina,,,,,,,,Gengar,0,1,,1,0,Necrozma,,0,0,0,0,,,Raging Bolt,2,1,,1,0,Rotom-Wash,,,,,,,,Ting-Lu,0,1,,1,0,Salamence,,,,,,,,Jirachi,1,1,,0,3,Dragonite,,0,1,1,0,,"Scizor has 0 direct kills, 0 passive kills, and 0 deaths.",Scizor has 0 kills and 0 deaths.,Scizor,0,0,Scizor
