,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Richmond Ragingbolts,,,,RR,2,Chicago Chimchars,,,,CHC,3,Icirrus City Infernapes,,,,ICI,4,King Keldeos,,,,KK,5,Boston Bulbasaurs,,,,BB,6,Carolina Cetitans,,,,CAC,,7,Timekeepers,,,,TK,8,,,
,poomasangi,,,,,,platano_power_420,,,,,,Aiden,,,,,,Bee,,,,,,Nigthamarish,,,,,,TheyCallMeGage,,,,,,,mrmonkey,,,,,,,,,
,200,,Dragapult,,,,190,,Palafin,,,,200,,Iron Valiant,,,,190,,Great Tusk,,,,170,,Gholdengo,10,T,,180,,Terapagos,,,,,180,,Tornadus-Therian,,,,,,,
,110,,Volcanion,,,,170,,Sneasler,,,,160,,Ting-Lu,,,,190,,Ogerpon-T,70,T,,140,,Gliscor,,,,160,,Skeledirge,40,T,,,180,,Deoxys-Speed,,,,,,,
,180,,Urshifu-Single-Strike,,,,160,,Rillaboom,20,T,,150,,Raging Bolt,,,,130,,Primarina,,,,110,,Ogerpon-H,,,,140,,Necrozma,,,,,130,,Hatterene,20,T,,,,,
,150,,Galarian Moltres,30,T,,150,,Latios,,,,170,,Ogerpon-C,40,T,,170,,Gouging Fire,,,,190,,Urshifu-Rapid-Strike,30,T,,120,,Tyranitar,10,T,,,130,,Empoleon,,,,,,,
,80,,Registeel,20,T,,180,,Landorus-Therian,30,T,,140,,Jirachi,,,,130,,Lycanroc-Dusk,,,,110,,Clodsire,,,,110,,Scream Tail,,,,,160,,Hoopa-Unbound,40,T,,,,,
,100,,Deoxys-Defense,,,,70,,Regieleki,,,,130,,Slowking,,,,50,,Grafaiai,,,,120,,Kingambit,,,,100,,Talonflame,,,,,150,,Dragonite,,,,,,,
,110,,Donphan,,,,90,,Tinkaton,,,,110,,Gengar,,,,120,,Hisuian Zoroark,,,,50,,Tornadus,,,,60,,Vikavolt,,,,,120,,Sandy Shocks,,,,,,,
,140,,Rotom-Wash,,,,120,,Azumarill,,,,120,,Moltres,,,,80,,Umbreon,,,,80,,Dondozo,,,,70,,Amoonguss,,,,,90,,Toxapex,,,,,,,
,80,,Shaymin,,,,80,,Incineroar,,,,60,,Tsareena,,,,150,,Hisuian Arcanine,30,T,,10,,Bulbasaur,,,,170,,Garchomp,,,,,30,,Cryogonal,,,,,,,
,100,,Fezandipiti,,,,40,,Coalossal,,,,10,,Crocalor,,,,40,,Jolteon,,,,170,,Blaziken,,,,80,,Gastrodon,,,,,80,,Serperior,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,100,,Entei,,,,60,,Magnezone,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,-50,,,0,,,-50,,,0,,,-40,,,0,,,-100,,,0,,,-40,,,0,,,-50,,,,0,,,-60,,,115,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Caborca Gengars,,,,CAG,9,Melbourne Metronomers,,,,MM,10,Columbus Conkeldurrs,,,,CC,11,East Coast Krooks,,,,ECK,12,Scottish Stoutlands,,,,SS,13,Uncertain Unowns,,,,UU,,14,Ottawa Donphans,,,,OD,16,,,
,holiss7795,,,,,,Bup Smoke,,,,,,Cowtow,,,,,,BigWill,,,,,,Lyrickz,,,,,,RexxRexx,,,,,,,Crunchy,,,,,,,,,
,150,,Garganacl,40,T,,150,,Baxcalibur,,,,180,,Meowscarada,,,,170,,Ogerpon-W,,,,150,,Hisuian Samurott,,,,10,,Phanpy,,,,,170,,Iron Bundle,,,,,,,
,130,,Thundurus,,,,160,,Galarian Slowking,,,,180,,Annihilape,20,T,,180,,Archaludon,40,T,,150,,Cinderace,,,,190,,Iron Moth,40,T,,,150,,Iron Treads,,,,,,,
,120,,Iron Crown,,,,130,,Glimmora,,,,160,,Enamorus,,,,170,,Darkrai,,,,140,,Corviknight,,,,150,,Iron Hands,,,,,130,,Pecharunt,,,,,,,
,100,,Arcanine,,,,130,,Krookodile,,,,180,,Salamence,40,T,,150,,Zapdos,,,,190,,Thundurus-Therian,50,T,,90,,Tentacruel,,,,,120,,Mandibuzz,,,,,,,
,110,,Hawlucha,,,,70,,Snorlax,,,,130,,Scizor,,,,140,,Excadrill,,,,100,,Sylveon,,,,90,,Bronzong,,,,,120,,Diancie,40,T,,,,,
